Air Temprature,Atmospresure station,Atmospresure sea,Relative humidity,mean wind speed,Min Temprature,Maximum Temprature ,Horizontol Visibility ,Dew Pount Temprature,Class
2.8,738.7,751.3,93,5,2.2,15.2,11,1.7,Rain
3.9,753.5,766.5,82,2,1.7,4.4,16,1.1,Rain
2.2,751.5,764.4,89,3,1.7,15.2,9,0.6,Rain
3.9,752,764.9,73,2,8.6,4.4,14,-0.6,Rain
3.3,753.8,766.8,65,3,2.8,4.4,16,-2.8,Rain
7.8,741,753.7,66,7,6.1,8.3,16,1.7,Rain
7.8,746.8,759.4,68,4,3.9,8.3,16,2.2,Rain
3.9,747.7,760.6,89,4,2.8,5,16,2.2,Rain
5.6,753,765.8,71,2,3.9,6.7,16,0.6,Rain
6.7,745.5,758.2,83,0,6.7,15.2,16,3.9,Rain
6.1,744.5,757.2,86,3,5,8.9,16,3.9,Rain
8.9,741.2,754,68,3,5,9.4,16,3.3,Rain
6.7,736.3,748.9,83,7,6.1,11.7,16,3.9,Rain
10,746,758.8,80,4,9.4,11.7,16,6.7,Rain
10.6,744.2,756.9,66,5,10,12.8,16,4.4,Rain
11.7,747.3,759.8,64,5,7.2,12.8,16,5,Rain
9.4,751.3,764.2,71,6,8.3,10.6,16,4.4,Rain
8.3,745,757.6,86,4,8.3,15.6,16,6.1,Rain
14.4,735.7,748.1,56,11,7.8,15.6,16,5.6,Rain
7.2,753.8,766.8,63,2,0,7.2,16,0.6,Rain
6.1,748.8,761.5,51,9,4.4,6.7,16,-3.3,Rain
6.1,745,757.8,76,0,0,6.7,14,2.2,Rain
7.8,747.7,760.5,71,6,7.2,11.7,16,2.8,Rain
7.2,755.5,768.5,66,5,5,7.8,16,1.1,Rain
10,754.8,767.8,80,5,3.9,11.1,16,6.7,Rain
7.8,746,758.8,96,0,7.8,11.1,16,7.2,Rain
10.6,750.3,763,86,3,10,15.6,11,8.3,Rain
10,757.8,770.6,86,3,8.3,10,16,7.8,Rain
7.2,749.5,762.3,86,2,7.2,11.1,16,5,Rain
8.3,749.8,762.5,83,3,8.3,10.6,16,5.6,Rain
10.6,748.3,761,80,2,9.4,11.1,16,7.2,Rain
10.6,746,758.6,83,6,10,12.8,16,7.8,Rain
12.2,747.5,760,75,0,11.1,16.1,16,7.8,Rain
17.8,742.3,754.7,41,6,8.9,18.3,16,4.4,Rain
9.4,745.3,757.7,90,2,9.4,15,16,7.8,Rain
12.2,747.3,759.8,77,3,9.4,15,16,8.3,Rain
10,749.5,762.3,89,3,8.9,10.6,6,8.3,Rain
11.1,754.3,767.2,93,0,8.9,14.4,16,10,Rain
14.4,753.3,765.9,78,3,8.9,16.1,16,10.6,Rain
15,749.2,761.8,90,4,13.9,15,16,13.3,Rain
13.9,748.5,761.2,96,3,13.9,15,9,13.3,Rain
15.6,747.5,760.1,86,2,12.2,19.4,12,13.3,Rain
17.2,748.3,760.8,84,4,8.6,18.9,16,14.4,Rain
17.2,748.8,761.2,78,3,12.2,17.2,16,13.3,Rain
13.9,753.5,766.2,96,0,13.9,16.1,16,13.3,Rain
11.7,751.3,763.9,80,5,8.6,15.6,16,8.3,Rain
15.6,752.5,765.2,72,4,10,15.6,16,10.6,Rain
11.7,751.5,764.2,89,0,11.7,22.8,16,10,Rain
18.9,747.3,759.8,81,5,17.2,22.8,11,15.6,Rain
15,747.7,760.3,78,4,13.3,16.1,12,11.1,Rain
16.7,747,759.4,75,5,16.1,18.9,16,12.2,Rain
17.2,747.7,760.3,70,6,16.1,18.9,16,11.7,Rain
18.3,748.3,760.9,73,6,16.1,18.3,16,13.3,Rain
16.7,749.5,762.2,75,7,16.1,17.2,16,12.2,Rain
20.6,743.8,756.1,57,9,16.7,22.2,16,11.7,Rain
19.4,743.8,756.1,73,2,16.7,23.3,16,14.4,Rain
17.2,749.5,762.1,81,6,16.1,19.4,9,13.9,Rain
22.8,748.8,761.3,55,3,16.1,22.8,16,13.3,Rain
17.2,748.8,761.3,84,4,15.6,22.8,16,14.4,Rain
16.1,751.5,764.2,67,3,15,21.1,16,10,Rain
22.2,751.8,764.3,53,6,13.3,22.8,16,12.2,Rain
18.9,750,762.7,61,3,15,19.4,16,11.1,Rain
20.6,748.3,760.7,61,4,16.7,22.2,16,12.8,Rain
18.3,748.8,761.1,81,2,18.3,28.3,16,15,Rain
25,752.2,764.8,39,4,16.1,25.6,16,10,Rain
13.9,752.2,764.7,83,2,13.3,24.4,16,11.1,Rain
13.9,748.8,761.4,83,4,12.2,15.2,16,11.1,Rain
13.9,754.3,767,81,3,11.7,13.9,16,10.6,Rain
10,747.7,760.4,93,0,9.4,12.2,3.2,8.9,Rain
11.7,747,759.7,80,4,10.6,11.7,16,8.3,Rain
10.6,746,758.7,92,2,10.6,13.9,16,9.4,Rain
12.2,751.3,763.9,77,4,11.1,18.9,16,8.3,Rain
10,753.8,766.6,80,5,10,15.6,9,6.7,Rain
15,752,764.7,72,4,13.3,16.1,16,10,Rain
18.3,755.5,768.2,61,3,10.6,18.3,16,10.6,Rain
10,749.2,762.1,66,3,5.6,10,16,3.9,Rain
6.1,760.6,773.7,82,3,3.3,8.9,16,3.3,Rain
11.1,749.8,762.6,53,9,6.1,11.7,16,1.7,Rain
10,746,758.8,80,4,7.8,13.9,16,6.7,Rain
8.9,746.5,759.2,77,5,6.7,9.4,16,5,Rain
13.3,745.5,758.1,39,2,7.2,13.9,16,-0.6,Rain
7.2,743.8,756.3,80,4,7.2,16.7,16,3.9,Rain
12.8,746.5,759.1,74,2,11.7,17.8,11,8.3,Rain
10,749.5,762.1,86,2,9.4,15.6,16,7.8,Rain
12.2,751,763.6,80,0,8.3,15,16,8.9,Rain
15,751.8,764.5,51,0,8.3,15.6,16,5,Rain
10,755,767.9,74,3,8.6,11.1,16,5.6,Rain
10,756.5,769.3,80,2,6.1,10,16,6.7,Rain
13.3,749.2,762,77,3,7.8,16.7,16,9.4,Rain
13.3,749.8,762.5,75,2,8.9,14.4,16,8.9,Rain
5.6,749.2,762,76,5,5.6,11.1,16,1.7,Rain
8.3,760,772.9,83,2,6.7,8.9,16,5.6,Rain
13.9,759.3,772.1,64,4,10,14.4,16,7.2,Rain
10.6,757,769.9,80,3,10,15.6,16,7.2,Rain
7.8,752.2,765.1,86,2,7.2,9.4,16,5.6,Rain
8.3,751.5,764.2,90,2,7.2,8.9,11,6.7,Rain
7.8,758.3,771.1,93,2,7.8,11.1,16,6.7,Rain
11.7,757.3,770.1,93,3,8.9,12.8,16,10.6,Rain
8.9,759.1,771.9,93,2,5.6,9.4,16,7.8,Rain
6.1,756.5,769.6,86,0,5.6,7.2,16,3.9,Rain
7.8,760,773,86,3,6.7,8.3,16,5.6,Rain
7.2,756.3,769.2,77,3,6.7,9.4,16,3.3,Rain
8.9,753.5,766.3,93,0,7.2,9.4,4.8,7.8,Rain
2.8,756.3,769.3,89,2,1.7,5.6,9,1.1,Rain
10,748.8,761.4,63,6,8.3,11.1,16,3.3,Rain
7.8,746,758.8,83,2,6.1,8.9,16,5,Rain
9.4,745.8,758.5,59,3,8.3,10,16,1.7,Rain
8.9,746,758.6,54,3,8.3,10,16,0,Rain
7.2,752.8,765.5,90,2,7.2,11.1,16,5.6,Rain
9.4,741.7,754.3,80,5,8.9,14.4,16,6.1,Rain
12.2,735.5,748,59,15,8.6,15.2,16,4.4,Rain
9.4,735.7,748.3,71,4,8.9,15.2,16,4.4,Rain
6.1,745.8,758.5,76,3,3.9,6.1,16,2.2,Rain
4.4,744.7,757.6,77,0,3.9,15.2,16,0.6,Rain
1.7,739.3,751.9,89,5,1.7,15.2,14,0,Rain
13.9,746.2,758.9,74,5,11.7,14.4,16,9.4,Rain
12.8,746.8,759.4,87,4,12.8,15,16,10.6,Rain
8.9,754.8,767.8,83,2,4.4,8.9,16,6.1,Rain
8.9,746.2,758.8,83,2,8.3,11.1,16,6.1,Rain
8.3,749.2,762.1,86,2,5.6,8.9,16,6.1,Rain
13.3,755,767.8,81,4,11.7,14.4,16,10,Rain
14.4,748,760.6,70,3,11.1,16.7,16,8.9,Rain
15,746.5,759.1,83,3,9.4,15,16,12.2,Rain
8.9,737.8,750.3,93,3,8.9,14.4,16,7.8,Rain
14.4,748,760.6,72,5,11.7,15,16,9.4,Rain
14.4,742,754.4,78,2,11.7,16.7,16,10.6,Rain
14.4,751.3,764,84,2,11.7,17.2,16,11.7,Rain
15.6,750.5,763.2,80,4,10,16.7,14,12.2,Rain
13.9,751.5,764.2,93,2,13.3,14.4,1.6,12.8,Rain
12.8,750.5,763,87,3,12.2,16.7,16,10.6,Rain
15.6,747.3,759.8,80,3,14.4,19.4,16,12.2,Rain
16.1,746.2,758.8,90,2,14.4,17.8,16,14.4,Rain
15,746.8,759.1,93,0,15,22.2,16,13.9,Rain
20.6,743.2,755.5,59,5,15.6,22.8,16,12.2,Rain
18.3,747.7,760.2,70,6,14.4,20,16,12.8,Rain
16.1,753,765.6,70,4,13.3,16.1,16,10.6,Rain
15.6,748.5,761,84,4,13.3,20,16,12.8,Rain
17.8,745.5,758,75,7,16.1,20,16,13.3,Rain
13.9,750.5,763,90,0,13.9,17.8,9,12.2,Rain
16.1,748.3,760.9,84,2,16.1,22.8,11,13.3,Rain
21.1,749,761.5,57,5,15.6,22.8,16,12.2,Rain
18.9,747.7,760,70,3,17.2,27.8,16,13.3,Rain
28.9,749,761.5,37,0,16.7,29.4,16,12.8,Rain
27.8,749.2,761.8,38,5,17.2,28.9,16,12.2,Rain
16.1,754.3,766.9,78,6,13.9,16.1,16,12.2,Rain
14.4,751.8,764.5,81,5,14.4,19.4,16,11.1,Rain
19.4,751.5,764.1,68,3,13.9,20,16,13.3,Rain
21.7,751.8,764.4,66,3,15.6,28.9,16,15,Rain
17.8,755.3,768,63,2,12.8,20.6,16,10.6,Rain
18.9,745.8,758.2,65,6,13.9,21.1,16,12.2,Rain
15.6,745.8,758.2,86,5,14.4,20.6,16,13.3,Rain
15,752.2,764.8,83,3,13.9,22.2,16,12.2,Rain
16.1,750.7,763.3,78,5,12.2,25.6,16,12.2,Rain
11.1,747.7,760.3,83,0,8.9,11.7,12,8.3,Rain
15.6,746.5,759.1,60,2,11.7,18.3,16,7.8,Rain
11.7,748.3,760.9,86,3,11.7,17.8,11,9.4,Rain
15.6,750.5,763.3,62,7,11.7,15.6,16,8.3,Rain
13.9,753.3,766,81,5,13.9,23.3,16,10.6,Rain
12.2,753.5,766.3,69,5,10.6,16.7,16,6.7,Rain
11.7,750.5,763.1,93,4,11.1,15,16,10.6,Rain
13.3,747.5,760.1,81,4,10.6,15,16,10,Rain
11.7,747.7,760.3,74,7,9.4,12.2,16,7.2,Rain
13.9,749.8,762.4,69,4,9.4,15.6,16,8.3,Rain
12.2,748.3,760.7,77,6,12.2,20.6,16,8.3,Rain
9.4,752.2,765,48,4,7.8,14.4,16,-1.1,Rain
7.2,755.3,768,77,2,6.7,15.6,16,3.3,Rain
7.8,745,757.6,83,3,7.2,12.2,16,5,Rain
10.6,745.3,757.9,74,6,6.7,12.2,16,6.1,Rain
6.7,740.2,752.7,89,0,6.7,11.1,16,5,Rain
8.3,751,763.7,83,6,6.7,8.3,16,5.6,Rain
10,756.1,769,71,0,3.3,10,16,5,Rain
7.2,758,770.9,74,2,3.9,7.2,16,2.8,Rain
15,754.8,767.5,62,5,6.7,24.4,16,7.8,Rain
13.3,749.5,762.1,72,3,11.1,15,16,8.3,Rain
12.8,750,762.6,83,5,10,12.8,16,10,Rain
10,748.8,761.4,77,3,6.7,10.6,16,6.1,Rain
5,742,754.6,57,6,5,8.3,16,-2.8,Rain
6.7,741.2,754,58,5,6.1,8.3,16,-1.1,Rain
6.1,749,761.9,80,4,8.6,6.7,16,2.8,Rain
5,755.8,768.8,82,2,4.4,6.7,16,2.2,Rain
5.6,756.3,769.3,79,4,5,6.7,16,2.2,Rain
5.6,752.5,765.5,79,5,3.9,7.8,16,2.2,Rain
8.9,746,758.8,58,7,4.4,9.4,16,1.1,Rain
2.8,750.5,763.6,89,0,2.2,3.9,9,1.1,Rain
3.3,751,764.1,89,2,-0.5,3.9,12,1.7,Rain
1.7,751.8,764.7,78,3,0,1.7,16,-1.7,Rain
2.2,750,763,55,4,-1.1,2.2,16,-6.1,Rain
-4.4,746.2,759.3,77,3,-5,-1.7,16,-7.8,Rain
6.1,748.8,761.7,89,4,6.1,8.3,4.8,4.4,Rain
6.7,755.3,768.1,89,2,5,9.4,16,5,Rain
10,766.6,779.5,83,0,8.9,10.6,11,7.2,Rain
10,766.3,779.4,83,4,10,10.6,16,7.2,Rain
7.2,741.7,754.4,77,2,7.2,14.4,16,3.3,Rain
8.9,749.2,762,80,5,8.3,9.4,16,5.6,Rain
8.3,748.8,761.6,83,10,6.7,9.4,16,5.6,Rain
7.2,749.8,762.4,77,6,5.6,8.9,16,3.3,Rain
7.2,753,765.9,86,3,5.6,7.2,16,5,Rain
6.7,756.5,769.4,85,2,3.9,7.2,12,4.4,Rain
7.2,756.8,769.6,90,3,4.4,8.3,2.4,5.6,Rain
7.2,755.3,768.1,77,0,6.1,8.9,16,3.3,Rain
6.7,754,766.9,83,2,3.9,6.7,16,3.9,Rain
7.2,758.3,771.1,86,0,0,8.3,4,5,Rain
10,756.8,769.7,63,4,10,11.7,16,3.3,Rain
10.6,755.5,768.4,83,7,10,10.6,16,7.8,Rain
1.1,752.8,765.8,70,3,0.6,5,8,-3.9,Rain
2.8,753.3,766.2,76,3,2.2,8.3,16,-1.1,Rain
9.4,760.8,773.8,86,3,8.3,11.1,14,7.2,Rain
8.9,759.1,772,80,5,6.7,9.4,16,5.6,Rain
9.4,759.5,772.6,83,3,5,9.4,16,6.7,Rain
11.7,745.8,758.2,80,8,10,13.3,16,8.3,Rain
8.9,757.6,770.4,83,3,5,9.4,16,6.1,Rain
8.9,756.5,769.5,71,3,6.1,8.9,16,3.9,Rain
10.6,752.8,765.7,56,3,3.3,11.7,16,2.2,Rain
7.8,745,757.7,73,6,7.8,13.3,16,3.3,Rain
10,753,765.9,83,2,8.3,11.1,9,7.2,Rain
14.4,757.3,770.1,72,3,8.9,15.6,16,9.4,Rain
10,752.2,765.1,77,2,6.1,11.1,16,6.1,Rain
8.9,752.2,765.1,63,3,4.4,10,16,2.2,Rain
8.3,752.5,765.2,71,2,6.1,11.1,16,3.3,Rain
12.2,750.3,763,80,2,8.3,14.4,16,8.9,Rain
12.2,750.5,763.1,77,7,11.7,14.4,16,8.3,Rain
12.8,749,761.8,77,8,12.2,14.4,16,8.9,Rain
11.1,759.5,772.5,83,2,9.4,11.7,16,8.3,Rain
11.7,746.8,759.4,77,0,11.1,13.9,16,7.8,Rain
13.9,742,754.4,87,2,13.9,23.3,16,11.7,Rain
15,748.5,761,78,3,14.4,17.2,16,11.1,Rain
20.6,748,760.4,61,6,15,21.7,16,12.8,Rain
18.3,745,757.5,81,3,14.4,18.9,16,15,Rain
24.4,750,762.6,48,3,16.7,25,16,12.8,Rain
20,748.8,761.2,63,0,17.2,27.2,16,12.8,Rain
25.6,753,765.7,39,2,17.2,26.1,16,10.6,Rain
21.7,747.5,759.9,68,2,15.6,26.1,16,15.6,Rain
17.2,748.5,761.2,81,0,16.1,24.4,16,13.9,Rain
21.1,747.5,760,61,2,16.1,21.1,16,13.3,Rain
16.7,747.7,760.1,80,0,16.7,22.2,16,13.3,Rain
17.2,747.5,760,76,5,16.1,25,16,12.8,Rain
27.8,749.2,761.8,35,5,15.6,27.8,16,11.1,Rain
20,753,765.7,61,2,15.6,20.6,16,12.2,Rain
17.8,748.5,761,90,2,17.2,27.2,16,16.1,Rain
23.3,748.5,761.1,52,4,15,27.2,16,12.8,Rain
22.8,748.8,761.2,55,2,16.1,22.8,16,13.3,Rain
14.4,751.3,763.9,84,3,14.4,25.6,16,11.7,Rain
17.2,750.7,763.2,76,5,15.6,23.9,16,12.8,Rain
18.3,753.3,765.9,78,2,15.6,18.3,16,14.4,Rain
16.1,753,765.7,81,3,15,16.7,4.8,12.8,Rain
24.4,749.2,761.9,43,3,13.3,25,16,11.1,Rain
22.8,754,766.5,48,2,14.4,22.8,16,11.1,Rain
21.7,751.5,764,57,3,14.4,22.8,16,12.8,Rain
18.9,753.8,766.3,65,4,15.6,23.3,16,12.2,Rain
16.1,750.7,763.3,78,4,16.1,31.1,16,12.2,Rain
22.8,747.3,759.7,46,0,18.9,30,16,10.6,Rain
16.7,753.5,766,67,3,13.9,19.4,16,10.6,Rain
18.9,755.3,767.8,87,0,16.7,21.1,16,16.7,Rain
16.1,742.7,755.3,75,2,15.6,21.1,16,11.7,Rain
20,742.3,754.6,70,3,16.7,22.2,16,14.4,Rain
16.7,745.3,757.8,73,2,16.7,25.6,16,11.7,Rain
16.1,749.2,761.9,63,8,13.3,16.1,16,8.9,Rain
15.6,750,762.7,60,5,12.8,18.3,16,7.8,Rain
17.8,749.2,762,56,0,12.8,20,16,8.9,Rain
15,750,762.5,81,3,13.9,25.6,16,11.7,Rain
17.2,752.2,764.9,45,6,13.3,17.2,16,5,Rain
15,751.8,764.4,58,4,12.2,22.8,16,6.7,Rain
17.2,754.6,767.1,58,2,12.2,17.2,16,8.9,Rain
13.3,754.3,767,72,6,9.4,16.7,16,8.3,Rain
13.9,752.8,765.6,62,5,10,15,16,6.7,Rain
10,751,763.7,80,5,9.4,16.1,16,6.7,Rain
13.9,747.3,759.8,78,3,11.7,17.2,16,10,Rain
12.8,749.8,762.5,83,3,11.1,17.2,16,10,Rain
16.1,749.8,762.5,75,4,11.1,18.3,16,11.7,Rain
12.2,749.5,762.2,77,3,10.6,16.7,16,8.3,Rain
11.1,751.5,764.2,83,4,8.9,16.7,16,8.3,Rain
8.9,749.5,762.3,89,2,8.9,12.2,16,7.2,Rain
9.4,749.8,762.4,86,2,6.7,11.7,16,7.2,Rain
15,744.5,757.2,58,7,8.3,15.6,16,6.7,Rain
15,759.8,772.6,67,3,12.2,16.1,16,8.9,Rain
12.8,758.5,771.3,74,3,12.2,16.7,16,8.3,Rain
15.6,755,767.7,58,3,11.7,16.7,16,7.2,Rain
12.8,751.5,764.2,74,6,12.2,16.7,16,8.3,Rain
12.2,749.2,761.9,87,3,12.2,21.7,16,10,Rain
12.2,749.5,762.3,87,2,11.7,17.2,16,10,Rain
4.4,755,767.8,73,2,4.4,13.9,16,0,Rain
12.2,752.2,765,45,6,7.8,13.9,16,0.6,Rain
11.1,755.5,768.2,83,6,11.1,13.9,16,8.3,Rain
12.8,754.8,767.6,72,8,11.1,13.3,16,7.8,Rain
9.4,756.8,769.6,74,6,8.9,12.8,16,5,Rain
12.8,756.1,768.8,64,5,8.9,13.9,16,6.1,Rain
8.9,755.5,768.4,83,6,8.9,13.3,16,6.1,Rain
8.9,761.3,774.1,74,4,6.7,8.9,16,4.4,Rain
6.1,754,766.9,80,3,4.4,13.9,16,2.8,Rain
6.1,748.8,761.5,80,3,4.4,12.2,16,2.8,Rain
8.9,747.3,760,66,7,3.3,10.6,16,2.8,Rain
6.1,747.3,760,76,8,3.9,6.7,16,2.2,Rain
11.7,757.3,770.1,61,2,6.7,12.2,16,4.4,Rain
13.3,756.3,769,67,0,8.3,13.9,16,7.2,Rain
8.3,750.5,763.4,90,0,7.2,13.3,9,6.7,Rain
8.9,748.5,761.3,68,0,8.3,16.7,16,3.3,Rain
6.7,754.3,767.2,76,6,4.4,6.7,16,2.8,Rain
8.9,752,764.6,86,5,8.9,14.4,16,6.7,Rain
9.4,753.8,766.6,86,6,8.9,13.9,16,7.2,Rain
11.7,751.8,764.6,69,3,9.4,11.7,16,6.1,Rain
10.6,755,767.7,86,3,9.4,11.1,16,8.3,Rain
10.6,752.8,765.6,86,5,8.3,10.6,16,8.3,Rain
6.7,760.6,773.7,89,2,3.9,8.3,11,5,Rain
6.7,761.5,774.6,79,2,4.4,8.3,16,3.3,Rain
11.7,751,763.9,55,3,5,12.2,16,2.8,Rain
6.7,739.7,752.5,83,5,5,6.7,16,3.9,Rain
6.1,744,756.6,82,4,6.1,8.9,16,3.3,Rain
8.9,744.5,757.2,68,2,6.7,9.4,16,3.3,Rain
6.7,754.3,767.2,76,4,6.1,11.7,16,2.8,Rain
11.7,757.6,770.3,83,3,11.1,13.9,16,8.9,Rain
13.9,758.3,771,72,6,11.1,15,16,8.9,Rain
11.7,759.1,771.9,83,6,7.2,12.2,16,8.9,Rain
6.7,754.8,767.8,65,3,3.3,8.3,16,0.6,Rain
8.3,750.5,763.2,56,5,4.4,8.9,16,0,Rain
8.9,754.8,767.8,58,5,4.4,8.9,16,1.1,Rain
8.9,756.1,769,61,6,3.9,10,16,1.7,Rain
6.7,750.5,763.3,76,6,3.9,6.7,16,2.8,Rain
5.6,751,763.8,79,11,5,6.1,16,2.2,Rain
3.3,743,755.8,79,2,1.7,7.8,16,0,Rain
3.3,743,755.8,79,2,1.7,7.8,16,0,Rain
6.1,744.2,756.8,68,2,4.4,7.8,16,0.6,Rain
6.1,744.2,756.9,68,2,4.4,7.8,16,0.6,Rain
7.8,746.5,759.3,68,3,4.4,7.8,16,2.2,Rain
7.8,746.5,759.2,68,2,4.4,7.8,16,2.2,Rain
5.6,753.3,766.2,79,0,5,8.3,16,2.2,Rain
5.6,753.2,766.1,79,0,5,8.3,16,2.2,Rain
5,755.3,768.1,73,3,5,11.1,16,0.6,Rain
5,755.2,768.1,73,3,5,11.1,16,0.6,Rain
6.1,754,766.9,76,6,3.9,9.4,16,2.2,Rain
6.1,754,766.9,76,5,3.9,9.4,16,2.2,Rain
6.1,762.3,775.3,86,3,5.6,9.4,16,3.9,Rain
6.1,762.2,775.2,86,2,5.6,9.4,16,3.9,Rain
8.3,758.5,771.5,80,4,7.8,11.1,16,5,Rain
8.3,758.5,771.4,80,3,7.8,11.1,16,5,Rain
10.6,758.3,771.2,74,9,7.2,11.1,16,6.1,Rain
10.6,758.2,771.2,74,8,7.2,11.1,16,6.1,Rain
8.3,758,770.9,71,3.5,5,8.3,16,3.3,Rain
8.3,758,771,71,3,5,8.3,16,3.3,Rain
6.1,758.7,771.7,82,1,3.3,6.1,12,3.3,Rain
6.1,758.7,771.7,82,1,3.3,6.1,12,3.3,Rain
5,758,770.8,86,0,5,8.9,11,2.8,Rain
5,758,770.9,86,0,5,8.9,11,2.8,Rain
5.6,758.3,771.2,85,2,5.6,8.3,16,3.3,Rain
5.6,758.2,771.2,85,2,5.6,8.3,16,3.3,Rain
6.7,756.8,769.6,79,2,5,8.3,9,3.3,Rain
6.7,756.8,769.6,79,1,5,8.3,9,3.3,Rain
6.7,750.3,763,76,4,5,8.9,16,2.8,Rain
6.7,750.2,763,76,4,5,8.9,16,2.8,Rain
8.9,748.4,761.2,71,3,6.7,10.6,16,3.9,Rain
8.9,748.5,761.3,71,4,6.7,10.6,16,3.9,Rain
8.9,746.2,758.8,80,7,6.7,10,16,5.6,Rain
8.9,746.2,758.8,80,7,6.7,10,16,5.6,Rain
7.2,746.8,759.4,83,2,6.7,10.6,16,4.4,Rain
7.2,746.7,759.3,82,2,6.7,10.6,16,4.4,Rain
8.3,747.4,760.2,80,2,6.7,10,16,5,Rain
8.3,747.5,760.3,80,3,6.7,10,16,5,Rain
7.2,758.2,771.1,86,7,5,8.3,16,5,Rain
7.2,758.3,771.1,86,7,5,8.3,16,5,Rain
7.2,748.2,760.9,70,6,2.8,8.3,16,2.2,Rain
7.2,748.3,760.9,71,7,2.8,8.3,16,2.2,Rain
4.4,746.9,759.8,89,2,2.8,10.6,16,2.8,Rain
4.4,747,759.8,89,3,2.8,10.6,16,2.8,Rain
1.1,752,765.1,85,2,0.6,3.3,16,-1.1,Rain
5.6,745.4,758.1,79,4,2.2,6.7,16,2.2,Rain
7.2,752.2,765.1,76,2,2.8,7.2,16,3.3,Rain
6.1,752.9,765.8,68,3,4.4,6.7,16,0.6,Rain
6.1,754.7,767.6,76,1,4.4,6.7,16,2.2,Rain
1.7,756.1,769.3,82,5,1.1,5,16,-1.1,NoRain
5,754.8,767.8,70,7,1.1,6.1,16,0,NoRain
1.7,756.5,769.6,96,6,1.1,5,0.4,1.1,NoRain
2.8,756.8,769.8,100,4,2.8,8.9,0.4,2.8,NoRain
7.2,754.6,767.5,83,4,6.1,8.3,16,4.4,NoRain
6.7,750.7,763.4,79,5,6.7,12.2,16,3.3,NoRain
5,754.8,767.7,93,4,2.8,5,14,3.9,NoRain
3.9,756.3,769.3,89,2,0.6,4.4,16,2.2,NoRain
3.3,756.3,769.5,73,2,0.6,4.4,16,-1.1,NoRain
1.7,756.5,769.7,76,2,0.6,2.2,16,-2.2,NoRain
0.6,756.1,769.3,89,2,0.6,3.9,14,-1.1,NoRain
1.1,756.1,769,70,3,-0.5,2.8,16,-3.9,NoRain
2.2,756.3,769.3,70,2,-0.5,3.9,16,-2.8,NoRain
1.7,757.6,770.8,67,4,0,1.7,16,-3.9,NoRain
0.6,758.5,771.6,92,0,-0.6,1.7,11,-0.6,NoRain
1.1,758.5,771.6,89,3,-0.5,1.7,9,-0.6,NoRain
2.2,755.8,769,32,3,0,2.2,16,-12.8,NoRain
0,758,771.1,47,4,-2.2,3.3,16,-10,NoRain
-1.1,760,773.2,64,3,-1.7,2.2,16,-7.2,NoRain
2.2,761.3,774.4,59,6,0.6,3.3,16,-5,NoRain
0.6,761.5,774.6,66,6,-1.7,2.2,16,-5,NoRain
0.6,759.3,772.4,61,8,0.6,4.4,16,-6.1,NoRain
1.7,757,770,85,4,1.7,4.4,16,-0.6,NoRain
3.9,758,771.1,65,2,-1.6,5,16,-2.2,NoRain
0.6,760.6,773.6,85,3,-1.7,1.7,16,-1.7,NoRain
-0.6,761.3,774.4,82,4,-1.7,9.4,16,-3.3,NoRain
1.7,760.3,773.5,78,2,0.6,5,16,-1.7,NoRain
5,758,771.1,55,4,3.3,6.7,16,-3.3,NoRain
10,749.2,762,74,6,5.6,10,16,5.6,NoRain
9.4,750,763,80,10,5.6,10,16,6.1,NoRain
6.7,756.8,769.7,85,3,3.9,7.2,16,4.4,NoRain
5,758.3,771.2,86,4,2.8,5.6,16,2.8,NoRain
3.9,757,769.9,96,2,3.9,6.1,11,3.3,NoRain
5.6,754.6,767.5,96,3,2.8,6.1,12,5,NoRain
4.4,754.8,767.8,86,3,2.8,10,16,2.2,NoRain
4.4,755.8,768.6,89,2,2.2,8.3,12,2.8,NoRain
7.8,756.3,769.3,68,3,2.2,10,16,2.2,NoRain
6.1,758.3,771.3,74,2,2.8,6.7,16,1.7,NoRain
3.3,758.3,771.2,93,4,2.2,8.9,16,2.2,NoRain
6.1,759.5,772.4,82,5,1.7,7.8,16,3.3,NoRain
7.8,759.1,772,68,8,1.7,8.9,16,2.2,NoRain
5.6,760.6,773.5,73,4,1.1,6.1,16,1.1,NoRain
2.8,760,773,93,4,1.7,7.8,16,1.7,NoRain
5.6,759.8,772.9,76,4,8.6,6.7,16,1.7,NoRain
6.7,759.8,772.9,68,3,0,7.8,16,1.1,NoRain
5,761.8,774.9,67,0,0,5,16,-0.6,NoRain
1.7,760.8,773.9,64,0,0,9.4,16,-4.4,NoRain
4.4,760,773.2,58,3,-1.6,6.7,16,-3.3,NoRain
6.1,758.8,771.8,71,3,-1.6,9.4,16,1.1,NoRain
1.7,758.3,771.4,96,2,-1.7,4.4,0.2,1.1,NoRain
-1.7,757.8,770.8,96,3,-1.7,9.4,4.8,-2.2,NoRain
3.9,757.8,770.8,76,3,1.7,7.8,16,0,NoRain
7.2,758.3,771.4,63,3,1.7,9.4,16,0.6,NoRain
7.2,758.3,771.4,63,3,1.7,9.4,16,0.6,NoRain
5,760.3,773.5,65,3,1.1,5,16,-1.1,NoRain
5,760.3,773.5,65,3,1.1,5,16,-1.1,NoRain
2.8,761,774.1,73,3,1.7,6.7,16,-1.7,NoRain
